Ref_LAT,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
36.1254,58351.2,32108.3,33268,0,0
36.2146,55993.2,64731.3,59648,1,0
36.7209,60588.2,18782.3,18348,2,0
38.2564,65872.2,54093.3,57458,3,0
38.887,68112.2,24722.3,37978,4,0
40.0042,68482.2,26532.3,35068,5,0
40.2084,70262.2,41088.3,47568,6,0
40.8932,54794.2,63112.3,34798,7,0
41.4363,63502.2,32890.3,61388,8,0
41.4447,64382.2,29694.3,50008,9,0
44.2316,44737.2,65807.3,75678,10,0
44.6773,32612.2,64681.3,66988,11,0
53.7697,41159.2,69730.3,53728,12,0
53.8004,24479.2,61018.3,69058,13,0
60.4377,30318.2,56575.3,82478,14,0
67.1616,24443.2,51824.3,69648,15,0
67.3002,24187.2,53588.3,69708,16,0
78.9969,42334.2,22077.3,56208,17,0
81.1486,19230.2,31482.3,58868,18,0
81.5425,19179.2,31740.3,59018,19,0
87.0234,35169.2,67242.3,36328,20,0
88.1681,22323.2,74391.3,28168,21,0
91.7011,23695.2,74902.3,27798,22,0
99.1329,12029.2,64459.3,17848,23,0
105.126,11642.2,58292.3,36268,24,0
105.495,13466.2,56146.3,42628,25,0
117.354,9377.2,54788.3,12228,26,0
117.444,8084.2,52482.3,34158,27,0
118.976,9650.2,51479.3,38048,28,0
122.437,6730.2,43907.3,31728,29,0
123.765,14753.2,30878.3,17088,30,0
